#Source: https://www.esrl.noaa.gov/psd/gcos_wgsp/Timeseries/Data/soi.long.data
#Detail: SOI
#Detail: Monthly time step
Year,Month,Value
1893,7,1.880
1893,8,0.600
1893,9,1.210
1893,10,0.630
1893,11,0.830
1893,12,-0.500
1894,1,2.150
1894,2,0.970
1894,3,0.820
1894,4,1.100
1894,5,-0.860
1894,6,-0.010
1894,7,0.470
1894,8,-1.400
1894,9,-0.240
1894,10,0.310
1894,11,-0.890
1894,12,0.070
1895,1,0.540
1895,2,0.620
1895,3,-0.260
1895,4,1.340
1895,5,0.650
1895,6,-1.260
1895,7,-0.750
1895,8,-1.020
1895,9,-0.520
1895,10,-0.820
1895,11,-0.470
1895,12,-1.000
1896,1,0.070
1896,2,0.370
1896,3,-0.840
1896,4,-1.190
1896,5,-3.230
1896,6,-2.990
1896,7,-1.390
1896,8,-2.550
1896,9,-1.880
1896,10,-2.010
1896,11,-1.260
1896,12,-1.690
1897,1,-1.420
1897,2,-0.860
1897,3,-2.010
1897,4,-2.000
1897,5,-1.590
1897,6,-0.160
1897,7,-0.190
1897,8,-0.110
1897,9,0.000
1897,10,0.100
1897,11,-0.960
1897,12,1.040
1898,1,0.650
1898,2,0.470
1898,3,2.020
1898,4,1.340
1898,5,-0.110
1898,6,-0.510
1898,7,0.650
1898,8,0.720
1898,9,0.880
1898,10,0.340
1898,11,0.020
1898,12,0.420
1899,1,1.310
1899,2,0.870
1899,3,1.380
1899,4,0.490
1899,5,-0.760
1899,6,-1.430
1899,7,-0.530
1899,8,-1.180
1899,9,-0.190
1899,10,0.740
1899,11,1.660
1899,12,-0.440
1900,1,-0.890
1900,2,-0.730
1900,3,-2.950
1900,4,-2.100
1900,5,-0.760
1900,6,3.100
1900,7,1.020
1900,8,0.750
1900,9,-1.610
1900,10,-2.130
1900,11,-0.750
1900,12,-0.730
1901,1,-0.090
1901,2,0.210
1901,3,0.880
1901,4,0.640
1901,5,0.080
1901,6,2.300
1901,7,1.510
1901,8,0.800
1901,9,-1.580
1901,10,-2.690
1901,11,-0.950
1901,12,-0.320
1902,1,1.680
1902,2,-0.280
1902,3,1.100
1902,4,1.150
1902,5,1.410
1902,6,0.240
1902,7,0.210
1902,8,-1.090
1902,9,-1.760
1902,10,-0.770
1902,11,-0.260
1902,12,-0.450
1903,1,-1.100
1903,2,-1.110
1903,3,1.800
1903,4,2.180
1903,5,0.920
1903,6,-0.220
1903,7,0.600
1903,8,-0.150
1903,9,0.810
1903,10,0.300
1903,11,-0.050
1903,12,1.660
1904,1,1.390
1904,2,1.530
1904,3,0.890
1904,4,3.640
1904,5,1.000
1904,6,-1.010
1904,7,-0.870
1904,8,-0.110
1904,9,-0.010
1904,10,-0.110
1904,11,-1.810
1904,12,0.180
1905,1,-1.080
1905,2,-1.840
1905,3,-3.510
1905,4,-3.050
1905,5,-1.680
1905,6,-2.290
1905,7,-2.110
1905,8,-0.960
1905,9,-0.700
1905,10,-0.830
1905,11,-1.810
1905,12,-1.570
1906,1,-0.430
1906,2,-0.880
1906,3,-0.560
1906,4,-0.840
1906,5,-1.030
1906,6,-0.710
1906,7,0.680
1906,8,1.430
1906,9,1.750
1906,10,0.810
1906,11,1.950
1906,12,0.300
1907,1,0.560
1907,2,-0.230
1907,3,-0.320
1907,4,-0.840
1907,5,-0.570
1907,6,0.450
1907,7,-0.030
1907,8,-1.050
1907,9,-0.070
1907,10,-0.430
1907,11,-0.580
1907,12,0.650
1908,1,-0.990
1908,2,0.840
1908,3,-0.410
1908,4,1.020
1908,5,0.180
1908,6,-0.630
1908,7,1.430
