#Source: https://www.esrl.noaa.gov/psd/data/timeseries/IPOTPI/tpi.timeseries.ersstv5.data
#Detail: IPO (TPI - from NOAA ERSST V5 - unfiltered)
#Detail: Monthly time step
Year,Month,Value
1880,4,-0.903
1880,5,-0.936
1880,6,-0.603
1880,7,-0.036
1880,8,-0.031
1880,9,-0.254
1880,10,0.516
1880,11,0.387
1880,12,0.313
1881,1,0.251
1881,2,0.295
1881,3,0.408
1881,4,0.371
1881,5,0.405
1881,6,0.303
1881,7,-0.355
1881,8,-0.372
1881,9,0.169
1881,10,0.087
1881,11,-0.002
1881,12,-0.196
1882,1,-0.524
1882,2,-0.455
1882,3,-0.166
1882,4,-0.051
1882,5,-0.162
1882,6,-0.632
1882,7,-0.788
1882,8,-0.527
1882,9,-0.402
1882,10,-0.397
1882,11,-0.603
1882,12,-0.677
1883,1,-0.579
1883,2,-0.170
1883,3,-0.063
1883,4,0.169
1883,5,0.072
1883,6,-0.073
1883,7,-0.526
1883,8,-0.492
1883,9,-0.307
1883,10,-0.287
1883,11,0.033
1883,12,-0.439
1884,1,-0.296
1884,2,-0.413
1884,3,-0.230
1884,4,-0.209
1884,5,0.258
1884,6,0.246
1884,7,0.397
1884,8,0.385
1884,9,0.736
1884,10,1.007
1884,11,1.062
1884,12,1.175
1885,1,0.966
1885,2,0.657
1885,3,0.650
1885,4,0.576
1885,5,0.762
1885,6,0.427
1885,7,0.172
1885,8,0.505
1885,9,0.869
1885,10,1.189
1885,11,1.128
1885,12,0.974
1886,1,0.587
1886,2,0.185
1886,3,-0.192
1886,4,0.065
1886,5,-0.475
1886,6,-0.885
1886,7,-0.556
1886,8,-0.632
1886,9,-0.500
1886,10,-0.970
1886,11,-1.278
1886,12,-1.291
1887,1,-1.296
1887,2,-1.439
1887,3,-1.363
1887,4,-0.994
1887,5,-0.831
1887,6,-0.632
1887,7,0.157
1887,8,0.012
1887,9,-0.302
1887,10,0.139
1887,11,0.164
1887,12,0.241
1888,1,0.547
1888,2,0.958
1888,3,1.012
1888,4,0.764
1888,5,0.735
1888,6,0.632
1888,7,0.540
1888,8,0.679
1888,9,1.298
1888,10,1.402
1888,11,1.489
1888,12,1.415
1889,1,1.390
1889,2,1.200
1889,3,0.905
1889,4,1.008
1889,5,0.670
1889,6,0.293
1889,7,-0.347
1889,8,-0.795
1889,9,-0.960
1889,10,-1.189
1889,11,-0.770
1889,12,-0.746
1890,1,-1.005
1890,2,-1.347
1890,3,-1.066
1890,4,-0.786
1890,5,-0.565
1890,6,-1.065
1890,7,-0.782
1890,8,-0.753
1890,9,-0.265
1890,10,-0.891
1890,11,-1.114
1890,12,-0.789
1891,1,-0.327
1891,2,-0.419
1891,3,-0.324
1891,4,0.284
1891,5,0.500
1891,6,0.461
1891,7,0.458
1891,8,0.016
1891,9,-0.164
1891,10,0.152
1891,11,0.202
1891,12,-0.223
1892,1,-0.393
1892,2,-0.523
1892,3,-0.684
1892,4,-0.835
1892,5,-1.199
1892,6,-1.238
1892,7,-0.982
1892,8,-1.317
1892,9,-1.871
1892,10,-1.715
1892,11,-1.717
1892,12,-1.351
1893,1,-1.099
1893,2,-0.991
1893,3,-1.000
1893,4,-1.414
1893,5,-1.557
1893,6,-1.413
1893,7,-1.335
1893,8,-1.104
1893,9,-1.163
1893,10,-1.348
1893,11,-1.166
1893,12,-1.117
1894,1,-1.123
1894,2,-1.219
1894,3,-1.119
1894,4,-0.847
1894,5,-1.113
1894,6,-0.804
1894,7,-1.210
1894,8,-0.924
1894,9,-1.155
1894,10,-1.146
1894,11,-1.447
1894,12,-1.199
1895,1,-1.191
1895,2,-0.794
1895,3,-0.596
1895,4,-0.314
1895,5,-0.010
1895,6,-0.112
1895,7,0.062
1895,8,0.022
1895,9,-0.108
1895,10,-0.080
1895,11,0.015
1895,12,0.198
1896,1,0.160
1896,2,-0.168
1896,3,-0.261
1896,4,-0.077
1896,5,0.086
1896,6,0.389
1896,7,0.634
1896,8,0.854
1896,9,0.940
1896,10,0.701
1896,11,1.027
1896,12,1.184
1897,1,1.081
1897,2,0.725
1897,3,0.286
1897,4,0.022
1897,5,0.362
1897,6,0.580
1897,7,0.572
1897,8,0.164
1897,9,-0.197
1897,10,-0.072
1897,11,-0.289
1897,12,-0.408
1898,1,-0.187
1898,2,-0.456
1898,3,-0.696
1898,4,-0.501
1898,5,-0.581
1898,6,-0.561
1898,7,-0.772
1898,8,-0.603
1898,9,-0.476
1898,10,-0.257
1898,11,-0.216
1898,12,-0.595
1899,1,-0.760
1899,2,-0.568
1899,3,-0.457
1899,4,-0.095
1899,5,-0.021
1899,6,0.013
1899,7,0.186
1899,8,0.607
1899,9,0.830
1899,10,0.894
1899,11,1.317
1899,12,1.461
1900,1,1.458
1900,2,1.115
1900,3,1.024
1900,4,1.244
1900,5,1.077
1900,6,0.956
1900,7,0.821
1900,8,0.624
1900,9,0.069
1900,10,0.347
1900,11,0.638
