climate_index,DatasetID,ccf,catchment,Proxy_Timespan,StartYear,EndYear,maxcorr,lag_match
avg_temp__1yr_wy7,Dataset_405,0.406996956,brisbane,2003,1,2004,0.406996956,-4
avg_temp__1yr_wy7,Dataset_437,0.38993737,brisbane,861,1144,2005,0.38993737,5
avg_temp__1yr_wy7,Dataset_466,0.38601665,brisbane,1278.3,718.1,1996.4,0.38601665,0
avg_temp__1yr_wy7,Dataset_456,0.354726595,brisbane,1288,719.1,2007.1,0.354726595,2
et_morton_potential__1yr_wy7,Dataset_144.2,0.446740002,brisbane,389.9609807,1572.984119,1962.9451,0.446740002,2
et_morton_potential__1yr_wy7,Dataset_11,0.433111226,brisbane,323,1661,1984,0.433111226,-1
et_morton_potential__1yr_wy7,Dataset_242,0.415598582,brisbane,225,1776,2001,0.415598582,-1
et_morton_potential__1yr_wy7,Dataset_221,0.35844033,brisbane,333,1652,1985,0.35844033,-2
rain__1yr_wy7,Dataset_269,0.41776635,brisbane,373,1612,1985,0.41776635,-1
rain__1yr_wy7,Dataset_8,0.405407684,brisbane,346,1639,1985,0.405407684,-1
rain__1yr_wy7,Dataset_11,0.395695473,brisbane,323,1661,1984,0.395695473,-1
rain__1yr_wy7,Dataset_242,0.381742519,brisbane,225,1776,2001,0.381742519,-1
rain__1yr_wy7,Dataset_144.2,0.359774398,brisbane,389.9609807,1572.984119,1962.9451,0.359774398,2
rain__1yr_wy7,Dataset_224,0.354299027,brisbane,371,1615,1986,0.354299027,-2
spei_12m__1yr_wy7,Dataset_11,0.447394631,brisbane,323,1661,1984,0.447394631,-1
spei_12m__1yr_wy7,Dataset_242,0.445891417,brisbane,225,1776,2001,0.445891417,-1
spei_12m__1yr_wy7,Dataset_144.2,0.444420979,brisbane,389.9609807,1572.984119,1962.9451,0.444420979,2
spei_12m__1yr_wy7,Dataset_269,0.422296041,brisbane,373,1612,1985,0.422296041,-1
spei_12m__1yr_wy7,Dataset_8,0.404371355,brisbane,346,1639,1985,0.404371355,-1
spei_12m__1yr_wy7,Dataset_221,0.380975621,brisbane,333,1652,1985,0.380975621,-2
spei_12m__1yr_wy7,Dataset_224,0.363136172,brisbane,371,1615,1986,0.363136172,-2
spei_24m__1yr_wy7,Dataset_242,0.470853044,brisbane,225,1776,2001,0.470853044,-1
spei_24m__1yr_wy7,Dataset_392.3,0.393331784,brisbane,587.32,1423.23,2010.55,0.393331784,4
spei_24m__1yr_wy7,Dataset_144.2,0.390231463,brisbane,389.9609807,1572.984119,1962.9451,0.390231463,2
spei_36m__1yr_wy7__QFCD_D3,Dataset_459,0.467567787,brisbane,1279.2,727.9,2007.1,0.467567787,-1
spei_36m__1yr_wy7__QFCD_D3,Dataset_457,0.451706527,brisbane,1279.2,727.9,2007.1,0.451706527,0
spei_36m__1yr_wy7__QFCD_D3,Dataset_458,0.434287777,brisbane,1279.2,727.9,2007.1,0.434287777,-1
spei_36m__1yr_wy7__QFCD_D3,Dataset_268,0.374520368,brisbane,425,1577,2002,0.374520368,2
spei_36m__1yr_wy7__QFCD_D3,Dataset_578,0.362547518,brisbane,1381.8,627.5,2009.3,0.362547518,1
spei_36m__1yr_wy7,Dataset_539,0.497796656,brisbane,2078.7,-95.3,1983.4,0.497796656,-5
spei_36m__1yr_wy7,Dataset_242,0.49088307,brisbane,225,1776,2001,0.49088307,0
spei_36m__1yr_wy7,Dataset_439,0.486423972,brisbane,2079.1,-95.1,1984,0.486423972,-5
spei_36m__1yr_wy7,Dataset_392.3,0.441297698,brisbane,587.32,1423.23,2010.55,0.441297698,4
spei_36m__1yr_wy7,Dataset_455,0.399208914,brisbane,551,1445.5,1996.5,0.399208914,0
spei_36m__1yr_wy7,Dataset_465,0.370779285,brisbane,1278.3,718.1,1996.4,0.370779285,-5
spei_36m__1yr_wy7,Dataset_236,0.352460368,brisbane,528,1463,1991,0.352460368,-5
spei_48m__1yr_wy7__QFCD_D3,Dataset_459,0.44747851,brisbane,1279.2,727.9,2007.1,0.44747851,-1
spei_48m__1yr_wy7__QFCD_D3,Dataset_457,0.43610252,brisbane,1279.2,727.9,2007.1,0.43610252,0
spei_48m__1yr_wy7__QFCD_D3,Dataset_458,0.417040646,brisbane,1279.2,727.9,2007.1,0.417040646,-1
spei_48m__1yr_wy7__QFCD_D3,Dataset_579,0.381186717,brisbane,1381.8,627.5,2009.3,0.381186717,-3
spei_48m__1yr_wy7__QFCD_D3,Dataset_437,0.37171892,brisbane,861,1144,2005,0.37171892,2
spei_48m__1yr_wy7__QFCD_D3,Dataset_456,0.360361882,brisbane,1288,719.1,2007.1,0.360361882,1
spei_48m__1yr_wy7,Dataset_497,0.580055739,brisbane,306.8,1663.9,1970.7,0.580055739,3
