long,lat,order,hole,piece,group,id
151.43834719,-24.46995256,87,FALSE,1,Baffle.1,Baffle
151.43095773,-24.3996944,88,FALSE,1,Baffle.1,Baffle
151.45958051,-24.35359534,89,FALSE,1,Baffle.1,Baffle
151.43083163,-24.28554049,90,FALSE,1,Baffle.1,Baffle
151.37597769,-24.20119343,91,FALSE,1,Baffle.1,Baffle
151.4421021,-24.18560096,92,FALSE,1,Baffle.1,Baffle
151.42137237,-24.08911752,93,FALSE,1,Baffle.1,Baffle
151.41652508,-24.08819332,94,FALSE,1,Baffle.1,Baffle
151.37776172,-24.01987066,95,FALSE,1,Baffle.1,Baffle
151.36408917,-23.93681941,96,FALSE,1,Baffle.1,Baffle
151.43040948,-23.99315221,97,FALSE,1,Baffle.1,Baffle
151.45922958,-24.06112187,98,FALSE,1,Baffle.1,Baffle
151.57719774,-24.04676117,99,FALSE,1,Baffle.1,Baffle
151.67955634,-24.06160049,100,FALSE,1,Baffle.1,Baffle
151.61206672,-23.9792611,101,FALSE,1,Baffle.1,Baffle
151.67354589,-23.9889007,102,FALSE,1,Baffle.1,Baffle
151.71369568,-24.03939032,103,FALSE,1,Baffle.1,Baffle
151.76315492,-24.03540002,104,FALSE,1,Baffle.1,Baffle
151.78646518,-24.1162397,105,FALSE,1,Baffle.1,Baffle
151.81562504,-24.15612941,106,FALSE,1,Baffle.1,Baffle
151.88091424,-24.17888893,107,FALSE,1,Baffle.1,Baffle
151.9441438,-24.24490839,108,FALSE,1,Baffle.1,Baffle
152.00126429,-24.42275761,109,FALSE,1,Baffle.1,Baffle
152.09211401,-24.56578671,110,FALSE,1,Baffle.1,Baffle
152.18667088,-24.66849766,111,FALSE,1,Baffle.1,Baffle
150.31260351,-26.16157681,112,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
150.31601561,-26.18102786,113,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
150.49897559,-26.25759453,114,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
150.55571802,-26.2538433,115,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
150.59633382,-26.27600308,116,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
150.72405573,-26.26482636,117,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
150.74653459,-26.23634381,118,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
150.81627067,-26.22159122,119,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
150.87713056,-26.26354806,120,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
150.88747567,-26.2192917,121,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
150.950218,-26.18132187,122,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.06530802,-26.19559614,123,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.12637464,-26.30649301,124,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.22832026,-26.33226466,125,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.24234954,-26.41307296,126,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.20464399,-26.44417778,127,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.20601507,-26.50446582,128,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.40963263,-26.65879807,129,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.42047919,-26.74401318,130,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.51884833,-26.76826371,131,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.57726998,-26.87943806,132,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.64814459,-26.91364431,133,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.68044636,-26.97944662,134,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.7330946,-27.01347971,135,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.74012158,-27.07199059,136,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.77374884,-27.08253232,137,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.79352397,-27.13367395,138,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
151.85254584,-27.16924532,139,FALSE,1,Balonne-Condamine.1,Balonne-Condamine
