year,climate_variable_recon,lower,upper,climate_variable_recon_scale,lower_scale,upper_scale
1718,850.37,638.59,1160.17,-0.14,-1.4,1.03
1719,815.79,587.79,1137.7,-0.31,-1.79,0.96
1720,738.26,557.61,989.89,-0.74,-2.06,0.45
1721,789.98,590.02,1068.39,-0.45,-1.77,0.73
1722,703.3,517.72,978.63,-0.95,-2.44,0.41
1723,733.48,549.32,991.24,-0.77,-2.13,0.46
1724,1131.85,790.38,1595.82,0.94,-0.45,2.05
1725,978.16,695.79,1395.95,0.41,-1,1.64
1726,942.38,675.71,1324.23,0.26,-1.13,1.47
1727,717.68,542.54,948.08,-0.86,-2.19,0.29
1728,905.22,676.14,1225.83,0.11,-1.13,1.22
1729,958.68,664.26,1375.85,0.33,-1.21,1.59
1730,1334.58,918.52,1964.01,1.5,0.16,2.63
1731,1032.62,741.25,1450.74,0.61,-0.72,1.76
1732,890.4,651.72,1211.45,0.04,-1.3,1.18
1733,856.94,630.32,1174.08,-0.11,-1.46,1.07
1734,809.8,612.03,1106.93,-0.34,-1.6,0.86
1735,817.41,615.4,1104.41,-0.3,-1.57,0.85
1736,744.2,548.19,1009.11,-0.7,-2.14,0.52
1737,765.87,585.21,1011.86,-0.58,-1.82,0.53
1738,917.07,657.07,1285.15,0.16,-1.26,1.37
1739,854.54,568.04,1225.07,-0.12,-1.96,1.21
1740,761.99,538.65,1070.36,-0.6,-2.23,0.74
1741,793.93,556.48,1118.04,-0.43,-2.07,0.9
1742,801.35,571.76,1133.28,-0.39,-1.93,0.94
1743,864.94,637.69,1188.66,-0.07,-1.4,1.11
1744,774.08,548.54,1096.67,-0.53,-2.14,0.83
1745,805.72,600.44,1099.73,-0.36,-1.69,0.84
1746,853.18,612.99,1194.03,-0.13,-1.59,1.13
1747,806.78,597.81,1112.24,-0.36,-1.71,0.88
1748,1046.64,755.67,1479.02,0.66,-0.64,1.82
1749,964.11,709.06,1325.27,0.35,-0.92,1.47
1750,702.17,510.22,963.3,-0.96,-2.51,0.35
1751,760.42,564.5,1038.46,-0.61,-1.99,0.63
1752,876.66,636.17,1181.25,-0.02,-1.41,1.09
1753,826.03,603.67,1125.25,-0.26,-1.66,0.92
1754,869.41,639.57,1201.32,-0.05,-1.39,1.15
1755,874.59,644.57,1194.66,-0.03,-1.35,1.13
1756,840.04,613.8,1143.49,-0.19,-1.58,0.98
1757,1145.84,829.59,1623.26,0.98,-0.24,2.1
1758,1023.16,706.92,1448.05,0.58,-0.93,1.76
1759,835.22,633.34,1125.43,-0.22,-1.43,0.92
1760,1355.03,961.22,1946.79,1.55,0.34,2.61
1761,813.27,617.02,1092.88,-0.33,-1.56,0.82
1762,927.4,682.65,1266.06,0.2,-1.09,1.32
1763,774.07,570.71,1058.52,-0.53,-1.94,0.7
1764,1162.77,828.72,1648.28,1.03,-0.25,2.15
1765,727.49,537.27,987.02,-0.8,-2.24,0.44
1766,694.16,528.35,909.62,-1.01,-2.33,0.13
1767,775.3,575.58,1051.51,-0.53,-1.9,0.68
1768,1326.45,936.33,1919.55,1.48,0.24,2.57
1769,767.47,580.81,1037.53,-0.57,-1.85,0.63
1770,825.49,607.83,1120.38,-0.26,-1.63,0.9
1771,743.96,558.61,1031.51,-0.7,-2.05,0.61
1772,814.56,589.77,1118.06,-0.32,-1.78,0.9
1773,797.3,601.5,1061.88,-0.41,-1.68,0.71
1774,752.17,545.89,1035.52,-0.66,-2.16,0.62
1775,895.45,630.46,1263.08,0.06,-1.46,1.32
1776,780.15,559.94,1088.7,-0.5,-2.03,0.8
1777,820.45,593.14,1134.35,-0.29,-1.75,0.95
1778,848.5,632.99,1136.08,-0.15,-1.44,0.95
1779,881.37,652.68,1216.31,0,-1.29,1.19
1780,771.94,568.05,1038.92,-0.55,-1.96,0.63
1781,907.41,654.84,1252.97,0.12,-1.28,1.29
